2019-07-17 12:00:07 start to sync now
2019-07-17 12:00:08 will try to sync 2 files to server
2019-07-17 12:00:09: /Users/ltt/MarkEditor/configs update folder to server
2019-07-17 12:00:11: /Users/ltt/MarkEditor/configs/sorts.json uploaded to server done
2019-07-17 12:00:11 sync ended
2019-07-17 12:00:23 start sync from server
2019-07-17 12:00:25 will try to sync 113 files from server.
2019-07-17 12:00:29 got _data/visits/2018-03-16.csv from server
2019-07-17 12:00:30 got _data/visits/2018-03-18.csv from server
2019-07-17 12:00:32 got _data/visits/2018-03-20.csv from server
2019-07-17 12:00:34 got _data/visits/2018-03-21.csv from server
2019-07-17 12:00:35 got _data/visits/2018-03-22.csv from server
2019-07-17 12:00:38 got _data/visits/2018-03-24.csv from server
2019-07-17 12:00:39 got _data/visits/2018-03-30.csv from server
2019-07-17 12:00:41 got _data/visits/2018-04-09.csv from server
2019-07-17 12:00:43 got _data/visits/2018-05-07.csv from server
2019-07-17 12:00:44 got _data/visits/2018-10-24.csv from server
2019-07-17 12:00:46 got _data/visits/2018-10-26.csv from server
2019-07-17 12:00:48 got _data/visits/2018-11-09.csv from server
2019-07-17 12:00:50 got _data/visits/2019-01-02.csv from server
2019-07-17 12:00:52 got _data/visits/2019-03-19.csv from server
2019-07-17 12:00:54 got _data/visits/2019-03-20.csv from server
2019-07-17 12:00:56 got _data/visits/2019-03-27.csv from server
2019-07-17 12:00:59 got _data/visits/2019-04-01.csv from server
2019-07-17 12:01:03 got _data/visits/2019-05-09.csv from server
2019-07-17 12:01:05 got _data/visits/2019-05-13.csv from server
2019-07-17 12:01:08 got _data/visits/2019-05-22.csv from server
2019-07-17 12:01:11 got _data/visits/2019-05-23.csv from server
2019-07-17 12:01:14 got _data/visits/2019-06-13.csv from server
2019-07-17 12:01:18 got _data/visits/2019-06-19.csv from server
2019-07-17 12:01:20 got _data/visits/2019-06-20.csv from server
2019-07-17 12:01:23 got Clouds/Qiniu.md from server
2019-07-17 12:01:25 got configs/advanced.json from server
2019-07-17 12:01:26 got configs/render.json from server
2019-07-17 12:01:31 got configs/site.json from server
2019-07-17 12:01:35 got devTools/git.md from server
2019-07-17 12:01:46 got http/_image/2019-06-12/2019-06-12-17-39-27.png from server
2019-07-17 12:01:48 got http/https.html from server
2019-07-17 12:01:49 got http/tcp.md from server
2019-07-17 12:01:54 got I&O/_image/2019-06-13/2019-06-13-15-29-22.jpg from server
2019-07-17 12:01:58 got I&O/_image/2019-06-13/2019-06-13-15-30-07.jpg from server
2019-07-17 12:02:01 got I&O/_image/2019-06-13/2019-06-13-15-30-55.jpg from server
2019-07-17 12:02:04 got I&O/NIO demo.md from server
2019-07-17 12:02:06 got I&O/阻塞&同步相关.md from server
2019-07-17 12:02:08 got java/lock.md from server
2019-07-17 12:02:10 got java/synchronized和ReentrantLock.md from server
2019-07-17 12:02:13 got java/Thread对象做锁是不存在的.txt from server
2019-07-17 12:02:15 got java/volatile作用，指令重排相关.md from server
2019-07-17 12:02:19 got java/基本类型自动拆箱装箱.md from server
2019-07-17 12:02:22 got java/多线程.md from server
2019-07-17 12:02:23 got java/永久带方法区.md from server
2019-07-17 12:02:25 got java/缓存失效.md from server
2019-07-17 12:02:27 got JDK11/JDK11模块化导致lombok无效话.txt from server
